"year","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
1900,5.3,3.6,4.3,9.3,11.2,15,18.9,16.5,15.2,11,8,7.8
1901,4.1,2.8,5.3,9.6,12.7,15,18.4,16.3,14.7,10.4,5.1,4.2
1902,5.6,2.2,7.6,8.2,10.1,14.5,16.2,15.9,14.1,10.6,7.6,5.1
1903,5.1,7.4,8.1,7.7,12.3,13.6,16.4,15.4,14.3,11.7,7.5,4.5
1904,5,4.5,5.1,9.7,11.8,14.5,18.1,16.2,13.4,10.3,6.3,5.3
1905,4.1,5.9,7.6,8.4,12,15.4,18.5,15.8,13.2,8.1,5.4,5.2
1906,5.8,3.9,5.7,8,11.4,15.3,17,18,15.3,11.8,7.9,4.4
1907,4,3.2,7.5,8.3,11.7,13.4,15.9,15.7,15.3,10.6,7.4,5.6
1908,3.1,6,5,7.1,13.5,15.9,17.8,16.1,13.8,12.9,8.6,5.8
1909,4.2,3.4,4,9.7,12.6,13,15.8,17.1,12.8,11.5,5.4,4.9
1910,4.6,6.1,6.6,7.9,12.5,15.6,15.5,15.9,13.7,11.2,4.7,7.2
1911,3.9,5.3,5.7,8.2,14.1,15.9,19.8,19.8,15.6,10.9,6.8,7.4
1912,4.4,6.3,8.3,9.8,13.3,14.6,17,13.6,12.1,9,7.3,7.8
1913,5.8,5.2,7.1,9.1,12.6,15.2,16.6,17,14.9,12.1,9.1,5.8
1914,3.1,6.8,6.7,9.9,11.2,14.8,16.1,16.2,13.3,10.1,6.6,4.9
1915,4.4,4.3,5.3,8.1,11.8,14.7,14.7,15.7,13.3,9,2.9,6.3
1916,7.8,4,3.8,8.4,11.9,12.1,15.7,16.6,13.8,11.6,6.5,1.3
1917,2,1.6,4.2,7,14.4,16.3,17,16.2,15.1,8.7,8.7,2.7
1918,5,7.2,6.8,7.9,14.5,14.8,17.1,17,13.3,9.8,6.7,8.2
1919,3.9,2,4.4,7.7,14,15,15.3,17.4,13.9,8.1,3.6,6.5
1920,6.2,6.6,7.7,8.8,12.7,15.5,14.9,14.7,13.8,11.1,7.3,4.8
1921,7.8,5.2,7.4,9,12.2,16.2,19.8,16.2,15.1,13.5,5.8,6.7
1922,4.5,5.1,5,8.8,13.8,14.9,14.5,14,12.9,8.5,6.1,6.4
1923,5.8,6.6,7,8.3,10.3,14,18.2,16.4,13.2,10.6,3.7,5.2
1924,5.4,3.5,5.1,8,12.3,14.5,15.8,14.7,13.9,10.9,7.4,7.2
1925,6.2,5.9,5.4,8.4,12.1,17,17.6,16.7,12.5,11.4,4.5,3.8
1926,5.3,7.7,6.6,9.5,10.7,14.2,17.9,17.3,15.7,8.6,6.6,4.6
