year,stat,degrees_celsius
1900,maximum,18.9
1900,median,10.15
1900,minimum,3.6
1901,maximum,18.4
1901,median,10
1901,minimum,2.8
1902,maximum,16.2
1902,median,9.149999999999999
1902,minimum,2.2
1903,maximum,16.4
1903,median,9.899999999999999
1903,minimum,4.5
1904,maximum,18.1
1904,median,10
1904,minimum,4.5
1905,maximum,18.5
1905,median,8.25
1905,minimum,4.1
1906,maximum,18
1906,median,9.7
1906,minimum,3.9
1907,maximum,15.9
1907,median,9.45
1907,minimum,3.2
1908,maximum,17.8
1908,median,10.75
1908,minimum,3.1
1909,maximum,17.1
1909,median,10.6
1909,minimum,3.4
1910,maximum,15.9
1910,median,9.55
1910,minimum,4.6
1911,maximum,19.8
1911,median,9.55
1911,minimum,3.9
1912,maximum,17
1912,median,9.4
1912,minimum,4.4
1913,maximum,17
1913,median,10.6
1913,minimum,5.2
1914,maximum,16.2
1914,median,10
1914,minimum,3.1
1915,maximum,15.7
1915,median,8.55
1915,minimum,2.9
1916,maximum,16.6
1916,median,10
1916,minimum,1.3
1917,maximum,17
1917,median,8.7
1917,minimum,1.6
1918,maximum,17.1
1918,median,9
1918,minimum,5
1919,maximum,17.4
1919,median,7.9
1919,minimum,2
1920,maximum,15.5
1920,median,9.95
1920,minimum,4.8
1921,maximum,19.8
1921,median,10.6
1921,minimum,5.2
1922,maximum,14.9
1922,median,8.65
1922,minimum,4.5
1923,maximum,18.2
1923,median,9.3
1923,minimum,3.7
1924,maximum,15.8
1924,median,9.45
1924,minimum,3.5
1925,maximum,17.6
1925,median,9.9
1925,minimum,3.8
1926,maximum,17.9
1926,median,9.05
1926,minimum,4.6
1927,maximum,16.5
1927,median,9.899999999999999
1927,minimum,2.6
1928,maximum,17.1
1928,median,9.850000000000001
1928,minimum,3.3
1929,maximum,16.7
1929,median,8.65
1929,minimum,0.4
1930,maximum,16.4
1930,median,10.1
1930,minimum,2.7
1931,maximum,15.8
1931,median,9
1931,minimum,4.2
1932,maximum,18.8
1932,median,8.600000000000001
1932,minimum,3.3
1933,maximum,18.5
1933,median,10.25
1933,minimum,1.3
1934,maximum,19.3
1934,median,10.05
1934,minimum,3.6
1935,maximum,18.4
1935,median,9.7
1935,minimum,3.9
1936,maximum,17
1936,median,8.85
1936,minimum,3.3
1937,maximum,17.1
1937,median,10.399999999999999
1937,minimum,3.8
1938,maximum,16
1938,median,10.25
1938,minimum,4.8
1939,maximum,16.5
1939,median,9.15
1939,minimum,3.6
1940,maximum,16.6
1940,median,9.75
1940,minimum,-0.5
1941,maximum,17.4
1941,median,8.2
1941,minimum,1.6
1942,maximum,16.4
1942,median,10.45
1942,minimum,0.9
1943,maximum,17
1943,median,10.95
1943,minimum,4.1
1944,maximum,17.5
1944,median,9.899999999999999
1944,minimum,3.7
1945,maximum,16.3
1945,median,11.5
1945,minimum,0.9
1946,maximum,16.4
1946,median,10.3
1946,minimum,3.6
1947,maximum,19
1947,median,9.9
1947,minimum,-1.7
1948,maximum,16
1948,median,9.8
1948,minimum,5.2
1949,maximum,18.2
1949,median,10.850000000000001
1949,minimum,5.8
1950,maximum,16.5
1950,median,9.25
1950,minimum,1.9
1951,maximum,17.3
1951,median,9.55
1951,minimum,4.5
1952,maximum,17.4
1952,median,9.75
1952,minimum,3.4
1953,maximum,16.7
1953,median,9.45
1953,minimum,3.3
1954,maximum,15
1954,median,9.7
1954,minimum,3.1
1955,maximum,19
1955,median,9.8
1955,minimum,2.3
1956,maximum,16.3
1956,median,8.75
1956,minimum,-0.5
1957,maximum,17.1
1957,median,10.399999999999999
1957,minimum,4.7
1958,maximum,16.4
1958,median,9.65
1958,minimum,4.2
1959,maximum,17.5
1959,median,11.5
1959,minimum,2.9
1960,maximum,16.5
1960,median,9.95
1960,minimum,4.4
1961,maximum,16.2
1961,median,10.9
1961,minimum,2.7
1962,maximum,15.8
1962,median,9.399999999999999
1962,minimum,2.8
1963,maximum,15.6
1963,median,10
1963,minimum,-2.9
1964,maximum,16.6
1964,median,9.2
1964,minimum,3.5
1965,maximum,15.7
1965,median,10
1965,minimum,3.5
1966,maximum,15.7
1966,median,9.45
1966,minimum,3.3
1967,maximum,17.5
1967,median,9.6
1967,minimum,5.1
1968,maximum,16.1
1968,median,9.4
1968,minimum,2.3
1969,maximum,17.3
1969,median,10.2
1969,minimum,2
1970,maximum,16.4
1970,median,10.05
1970,minimum,4
1971,maximum,17.7
1971,median,10.05
1971,minimum,4.9
1972,maximum,16.2
1972,median,9.8
1972,minimum,4.7
1973,maximum,17.5
1973,median,8.85
1973,minimum,5.1
1974,maximum,15.5
1974,median,8.55
1974,minimum,5.9
1975,maximum,19.1
1975,median,9.7
1975,minimum,5.3
1976,maximum,19.2
1976,median,9.75
1976,minimum,2.3
1977,maximum,16.8
1977,median,9.6
1977,minimum,3.7
1978,maximum,15.6
1978,median,10.85
1978,minimum,3.4
1979,maximum,17.2
1979,median,9.350000000000001
1979,minimum,0.9
1980,maximum,16.5
1980,median,9.55
1980,minimum,2.6
1981,maximum,18.1
1981,median,9.3
1981,minimum,2.9
1982,maximum,17.7
1982,median,11
1982,minimum,4.3
1983,maximum,21.7
1983,median,9.95
1983,minimum,3
1984,maximum,19
1984,median,10.600000000000001
1984,minimum,5
1985,maximum,17.3
1985,median,10.85
1985,minimum,2.5
1986,maximum,16.8
1986,median,10.3
