earnings,height,sex,race,education,is_hispanic,age,age_band
NA,1.6764000000000001,female,white,secondary,0,37,35 to 49
NA,1.6256,male,black,secondary,0,40,35 to 49
50,1.8796000000000002,male,white,university,0,45,35 to 49
60,1.6764000000000001,female,white,university,0,58,over 50
30,1.6256,female,white,university,0,29,18 to 34
NA,1.651,female,white,postgraduate,0,57,over 50
NA,1.7272,female,black,phd,0,54,over 50
51,1.6002,female,white,postgraduate,0,39,35 to 49
9,1.6256,female,white,university,0,26,18 to 34
29,1.5748,female,white,secondary,0,49,35 to 49
32,1.8542,male,white,postgraduate,0,46,35 to 49
2,1.8288,male,white,university,1,21,18 to 34
27,1.8288,male,white,secondary,0,26,18 to 34
6.53,1.778,male,white,university,0,65,over 50
0,1.6002,female,white,university,0,50,over 50
30,1.7272,male,white,secondary,0,34,18 to 34
12,1.7272,male,white,secondary,0,27,18 to 34
NA,1.8034000000000001,male,white,phd,0,51,over 50
12,1.651,female,white,secondary,0,51,over 50
NA,1.6764000000000001,female,white,secondary,0,45,35 to 49
0,1.524,female,white,secondary,0,27,18 to 34
NA,1.651,female,white,secondary,0,41,35 to 49
NA,1.7526,male,white,secondary,0,51,over 50
22,1.6764000000000001,female,white,university,0,35,35 to 49
NA,1.651,female,white,university,0,29,18 to 34
NA,1.8034000000000001,male,white,university,0,22,18 to 34
17,1.7272,male,white,secondary,0,58,over 50
40,1.7272,female,white,university,0,29,18 to 34
44,1.778,male,white,university,0,44,35 to 49
0,1.7018,female,white,secondary,0,21,18 to 34
7,1.6256,female,black,secondary,0,55,over 50
53,1.8542,male,black,university,0,35,35 to 49
NA,1.6256,female,black,secondary,0,23,18 to 34
5,1.5748,female,white,university,0,51,over 50
14,1.6002,female,white,university,0,21,18 to 34
NA,1.7526,male,white,university,0,36,35 to 49
5.5,1.7018,male,white,university,0,22,18 to 34
40,1.6764000000000001,female,white,secondary,0,41,35 to 49
34,1.8288,male,white,secondary,0,45,35 to 49
NA,1.6002,female,black,secondary,0,23,18 to 34
NA,1.6256,female,white,secondary,0,57,over 50
10,1.6002,female,black,secondary,0,35,35 to 49
0,1.7272,male,white,secondary,0,21,18 to 34
27,1.6256,female,white,university,0,60,over 50
NA,1.8542,male,white,university,0,44,35 to 49
NA,1.7018,female,white,secondary,0,69,over 50
0,1.524,female,white,secondary,0,44,35 to 49
50,1.8288,male,white,university,0,38,35 to 49
0,1.7272,female,white,secondary,0,55,over 50
41,1.9558000000000002,male,white,university,0,33,18 to 34
0,1.6256,female,white,secondary,0,19,18 to 34
15,1.6256,female,white,university,0,25,18 to 34
25,1.6256,female,white,secondary,0,33,18 to 34
NA,1.6002,female,white,university,0,72,over 50
75,1.8288,male,white,postgraduate,0,39,35 to 49
NA,1.7272,male,black,university,0,62,over 50
27,1.7272,male,white,postgraduate,0,31,18 to 34
12,1.6256,female,white,secondary,0,26,18 to 34
NA,1.778,male,white,secondary,0,51,over 50
7.5,1.5493999999999999,female,white,university,0,78,over 50
NA,1.9304,male,black,secondary,0,41,35 to 49
NA,1.651,female,white,secondary,0,46,35 to 49
NA,1.6256,male,black,secondary,0,61,over 50
30,1.7018,female,black,university,0,31,18 to 34
21,1.651,female,white,secondary,0,57,over 50
27,1.6256,female,white,university,0,26,18 to 34
NA,1.8542,male,white,university,0,44,35 to 49
3,1.7018,female,white,university,0,65,over 50
25,1.651,female,white,secondary,0,30,18 to 34
24,1.651,female,white,secondary,0,41,35 to 49
32,1.7018,female,white,phd,0,29,18 to 34
10,1.7272,female,white,postgraduate,0,30,18 to 34
0,1.778,female,white,secondary,0,57,over 50
11,1.524,female,white,secondary,1,21,18 to 34
18.7,1.651,female,white,university,0,32,18 to 34
20,1.5748,female,white,secondary,0,29,18 to 34
NA,1.6764000000000001,female,white,university,0,46,35 to 49
13,1.7018,male,black,primary,0,56,over 50
NA,1.7526,male,white,secondary,0,45,35 to 49
25,1.778,male,white,secondary,0,65,over 50
21,1.778,male,white,postgraduate,0,41,35 to 49
34,1.7272,female,white,postgraduate,0,49,35 to 49
NA,1.6764000000000001,female,black,secondary,0,23,18 to 34
NA,1.5493999999999999,female,black,secondary,0,30,18 to 34
6,1.524,female,white,secondary,0,65,over 50
17,1.8034000000000001,male,white,secondary,0,28,18 to 34
NA,1.778,female,white,secondary,0,56,over 50
35,1.8034000000000001,male,white,secondary,0,32,18 to 34
NA,1.6256,female,white,university,0,22,18 to 34
14,1.7272,female,white,university,0,55,over 50
10,1.6764000000000001,female,white,secondary,0,57,over 50
NA,1.7526,male,native,university,0,89,over 50
25,1.7526,male,white,university,0,29,18 to 34
0,1.6002,female,white,primary,0,63,over 50
NA,1.7272,female,white,secondary,1,29,18 to 34
NA,1.778,male,white,phd,0,60,over 50
16,1.6002,female,white,university,0,27,18 to 34
0,1.6764000000000001,female,black,university,0,30,18 to 34
NA,1.6764000000000001,female,white,secondary,0,33,18 to 34
0,1.6256,female,white,secondary,0,26,18 to 34
16,1.5748,male,white,university,1,28,18 to 34
NA,1.6764000000000001,female,white,phd,0,67,over 50
16.5,1.6256,female,white,university,0,43,35 to 49
NA,1.7272,male,white,secondary,0,73,over 50
4,1.6256,female,white,secondary,0,68,over 50
3.84,1.7018,female,white,secondary,0,52,over 50
NA,1.524,female,white,primary,0,78,over 50
22,1.8034000000000001,male,white,secondary,0,39,35 to 49
0.2,1.524,female,white,university,0,53,over 50
26,1.6764000000000001,female,white,university,0,27,18 to 34
2.5,1.6764000000000001,female,white,university,0,21,18 to 34
17,1.651,female,white,university,0,39,35 to 49
NA,1.6002,female,white,university,0,35,35 to 49
8,1.778,female,white,university,0,22,18 to 34
NA,1.7272,male,white,secondary,0,31,18 to 34
0,1.651,female,white,university,0,63,over 50
12,1.6764000000000001,female,white,university,0,68,over 50
10,1.5748,female,white,secondary,0,47,35 to 49
NA,1.524,female,white,primary,0,77,over 50
NA,1.9304,male,white,university,0,51,over 50
10,1.6764000000000001,female,white,university,0,67,over 50
0,1.6256,female,white,university,0,38,35 to 49
15,1.8288,male,white,secondary,0,39,35 to 49
NA,1.6764000000000001,female,white,secondary,0,31,18 to 34
NA,1.5748,female,white,primary,0,82,over 50
NA,1.6764000000000001,female,asian,secondary,0,43,35 to 49
NA,1.7526,male,black,secondary,0,73,over 50
NA,1.7272,female,white,university,0,48,35 to 49
2.4,1.7018,female,white,primary,1,39,35 to 49
30,1.7272,male,white,secondary,1,32,18 to 34
30,1.778,male,white,secondary,0,33,18 to 34
10,1.5748,female,white,secondary,0,38,35 to 49
NA,1.778,male,white,phd,0,43,35 to 49
5,1.6002,female,white,university,0,26,18 to 34
12,1.6764000000000001,female,white,university,0,63,over 50
20,1.778,female,white,secondary,0,61,over 50
20,1.7272,female,white,secondary,0,36,35 to 49
20,1.778,male,white,university,0,23,18 to 34
NA,1.651,female,white,phd,0,57,over 50
NA,1.7272,female,white,primary,0,82,over 50
0,1.6764000000000001,female,white,secondary,0,59,over 50
NA,1.8034000000000001,male,white,phd,0,76,over 50
1.2,1.6764000000000001,female,white,secondary,0,20,18 to 34
NA,1.5748,female,white,secondary,0,69,over 50
0.7,1.7272,female,white,university,0,32,18 to 34
20,1.778,male,white,university,0,27,18 to 34
10,1.5493999999999999,female,white,secondary,1,22,18 to 34
30,1.6002,female,white,secondary,0,73,over 50
NA,1.8288,male,white,primary,1,63,over 50
40,1.6256,female,white,university,0,56,over 50
25,1.7018,male,white,secondary,0,89,over 50
NA,1.6764000000000001,female,white,phd,0,65,over 50
NA,1.7272,female,white,university,0,42,35 to 49
10,1.5493999999999999,female,white,postgraduate,0,79,over 50
60,1.7526,female,white,phd,0,63,over 50
NA,1.5748,female,white,secondary,0,56,over 50
0,1.6256,female,white,secondary,0,21,18 to 34
18,1.7272,female,white,secondary,0,66,over 50
NA,1.524,female,white,secondary,0,74,over 50
NA,1.8034000000000001,male,white,phd,0,42,35 to 49
16.04,1.6256,female,white,secondary,0,33,18 to 34
15,1.7018,female,black,university,0,30,18 to 34
10,1.7526,male,white,postgraduate,0,23,18 to 34
33,1.7018,female,white,university,0,43,35 to 49
18,1.7272,female,white,secondary,0,30,18 to 34
15,1.6002,female,white,secondary,0,37,35 to 49
21,1.8034000000000001,male,white,secondary,0,22,18 to 34
21,1.6256,female,black,postgraduate,0,43,35 to 49
37,1.7272,male,white,secondary,0,37,35 to 49
38,1.7272,female,white,postgraduate,0,44,35 to 49
17,1.6764000000000001,female,white,university,1,43,35 to 49
0,1.6764000000000001,female,white,secondary,0,29,18 to 34
0,1.6764000000000001,female,asian,university,0,32,18 to 34
