year,movie_name,finance,dollars
1970,Beyond the Valley of the Dolls,budget,1000000
1970,Beyond the Valley of the Dolls,domgross,9000000
1970,Beyond the Valley of the Dolls,intgross,9000000
1971,Escape from the Planet of the Apes,budget,2500000
1971,Escape from the Planet of the Apes,domgross,12300000
1971,Escape from the Planet of the Apes,intgross,12300000
1971,Shaft,budget,53012938
1971,Shaft,domgross,70327868
1971,Shaft,intgross,107190108
1971,Straw Dogs,budget,25000000
1971,Straw Dogs,domgross,10324441
1971,Straw Dogs,intgross,11253821
1971,The French Connection,budget,2200000
1971,The French Connection,domgross,41158757
1971,The French Connection,intgross,41158757
1971,Willy Wonka &amp; the Chocolate Factory,budget,3000000
1971,Willy Wonka &amp; the Chocolate Factory,domgross,4000000
1971,Willy Wonka &amp; the Chocolate Factory,intgross,4000000
1972,1776,budget,4000000
1972,1776,domgross,NA
1972,1776,intgross,NA
1972,Pink Flamingos,budget,12000
1972,Pink Flamingos,domgross,413802
1972,Pink Flamingos,intgross,413802
1972,The Godfather,budget,7000000
1972,The Godfather,domgross,134966411
1972,The Godfather,intgross,268500000
1973,American Graffiti,budget,777000
1973,American Graffiti,domgross,115000000
1973,American Graffiti,intgross,140000000
1973,High Plains Drifter,budget,15700000
1973,High Plains Drifter,domgross,15700000
1973,High Plains Drifter,intgross,15700000
1973,Sleeper,budget,2000000
1973,Sleeper,domgross,18344729
1973,Sleeper,intgross,18344729
1973,The Exorcist,budget,12000000
1973,The Exorcist,domgross,204868002
1973,The Exorcist,intgross,402735134
1973,The Sting,budget,5500000
1973,The Sting,domgross,159616327
1973,The Sting,intgross,159616327
1974,Black Christmas,budget,9000000
1974,Black Christmas,domgross,16235738
1974,Black Christmas,intgross,16235738
1974,Blazing Saddles,budget,2600000
1974,Blazing Saddles,domgross,119500000
1974,Blazing Saddles,intgross,119500000
1974,The Conversation,budget,1600000
1974,The Conversation,domgross,4420000
1974,The Conversation,intgross,4420000
1974,The Godfather: Part II,budget,13000000
1974,The Godfather: Part II,domgross,57300000
1974,The Godfather: Part II,intgross,57300000
1974,The Texas Chain Saw Massacre,budget,140000
1974,The Texas Chain Saw Massacre,domgross,26572439
1974,The Texas Chain Saw Massacre,intgross,26572439
1974,The Towering Inferno,budget,140000
1974,The Towering Inferno,domgross,26572439
1974,The Towering Inferno,intgross,26572439
1974,Young Frankenstein,budget,2800000
1974,Young Frankenstein,domgross,86300000
1974,Young Frankenstein,intgross,86300000
1975,Barry Lyndon,budget,11000000
1975,Barry Lyndon,domgross,20000000
1975,Barry Lyndon,intgross,20000000
1975,Jaws,budget,12000000
1975,Jaws,domgross,260000000
1975,Jaws,intgross,470700000
1975,Monty Python and the Holy Grail,budget,400000
1975,Monty Python and the Holy Grail,domgross,3427696
1975,Monty Python and the Holy Grail,intgross,5028948
1975,One Flew Over the Cuckoo&#39;s Nest,budget,4400000
1975,One Flew Over the Cuckoo&#39;s Nest,domgross,108981275
1975,One Flew Over the Cuckoo&#39;s Nest,intgross,108981275
1975,The Rocky Horror Picture Show,budget,1200000
1975,The Rocky Horror Picture Show,domgross,139876417
1975,The Rocky Horror Picture Show,intgross,139876417
1976,Assault on Precinct 13,budget,30000000
1976,Assault on Precinct 13,domgross,20040895
1976,Assault on Precinct 13,intgross,36040895
1976,Family Plot,budget,3000000
1976,Family Plot,domgross,13200000
1976,Family Plot,intgross,13200000
1976,Logan&#39;s Run,budget,7000000
1976,Logan&#39;s Run,domgross,25000000
1976,Logan&#39;s Run,intgross,25000000
1976,Network,budget,3800000
1976,Network,domgross,23689877
1976,Network,intgross,23689877
1976,Rocky,budget,1000000
1976,Rocky,domgross,117235147
1976,Rocky,intgross,225000000
1976,Silent Movie,budget,4400000
1976,Silent Movie,domgross,36145695
1976,Silent Movie,intgross,36145695
1976,Sparkle,budget,10000000
1976,Sparkle,domgross,24397469
1976,Sparkle,intgross,24660323
1976,Taxi Driver,budget,1000000
1976,Taxi Driver,domgross,28262574
1976,Taxi Driver,intgross,28262574
1977,A Bridge Too Far,budget,26000000
1977,A Bridge Too Far,domgross,50800000
1977,A Bridge Too Far,intgross,50800000
1977,Annie Hall,budget,4000000
