track,single_lap_record,single_lap_record_date,three_lap_record,three_lap_record_date
Banshee Boardwalk,40.78,2020-06-11,124.09,2021-01-15
Bowser's Castle,43.15,2021-02-02,132,2021-02-02
Choco Mountain,38.02,2020-07-17,115.93,2020-07-14
D.K.'s Jungle Parkway,42.04,2020-10-26,131.62,2019-12-31
Frappe Snowland,38.27,2019-12-25,119.95,2017-12-23
Kalimari Desert,38.96,2020-11-07,123.94,2018-04-20
Koopa Troopa Beach,30.78,2020-10-18,95.25,2020-07-13
Luigi Raceway,37.58,2021-01-10,117.77,2020-11-06
Mario Raceway,27.62,2021-01-26,87.51,2020-08-13
Moo Moo Farm,27.8,2018-12-29,85.93,2020-02-18
Rainbow Road,116.35,2020-09-04,351.87,2020-09-28
Royal Raceway,55.5,2020-06-11,171.25,2020-09-07
Sherbet Land,37.72,2021-02-19,115.15,2021-01-26
Toad's Turnpike,58.69,2020-09-20,177.8,2020-09-28
Wario Stadium,85.82,2021-01-26,260.01,2019-10-11
Yoshi Valley,31.25,2018-01-18,102.13,2021-01-26
